,Date,Open,High,Low,Close,Volume,target,s_moving_average,varSMA,l_moving_average,varLMA,autocorrelation,varACR,CRTDR,varSTR,delta,rsi,varRSIbinary,varRSItertiary
3762,2000-06-05,147.47,148.22,146.88,147.12,6997800.0,1,143.86833333333334,1,145.03901960784313,1,0.26148325936243771,-1,0.17910447761194662,1,-0.3499999999999943,53.268023414515746,1,0
3761,2000-06-06,146.62,147.78,145.91,146.47,4858900.0,1,145.28,1,144.92078431372548,1,0.13387773549672344,-1,0.2994652406417117,-1,-0.15000000000000568,53.217642805495259,1,0
3760,2000-06-07,146.62,148.0,146.0,147.48,4919500.0,1,146.11500000000001,1,144.80156862745096,1,-0.19718731958441821,-1,0.7399999999999949,1,0.8599999999999852,50.295857988165615,1,0
3759,2000-06-08,147.5,147.75,146.06,146.91,5723100.0,1,146.85499999999999,1,144.70294117647057,1,-0.51568216173254122,-1,0.5029585798816542,-1,-0.5900000000000034,51.860543077438749,1,0
3758,2000-06-09,147.5,147.97,145.62,146.59,3085300.0,1,147.06833333333336,-1,144.61529411764704,1,-0.44557370913737393,-1,0.41276595744680905,1,-0.9099999999999966,53.988971871291888,1,0
3757,2000-06-12,146.97,146.97,144.88,144.88,3478900.0,1,146.57500000000002,-1,144.49098039215684,1,-0.55723207764842742,-1,0.0,1,-2.0900000000000034,53.400250941028794,1,0
3756,2000-06-13,144.81,147.75,144.62,147.59,6558400.0,-1,146.65333333333334,1,144.46941176470588,1,-0.51509839102410981,-1,0.9488817891373812,1,2.780000000000001,57.221838286109133,1,0
3755,2000-06-14,148.25,148.88,147.19,147.84,6420500.0,1,146.88166666666669,1,144.41960784313724,1,-0.11664536411775925,-1,0.3846153846153885,1,-0.4099999999999966,56.572474545246486,1,0
3754,2000-06-15,148.12,148.75,146.84,148.16,5881100.0,1,146.995,1,144.35901960784312,1,-0.22287752583103798,-1,0.6910994764397882,1,0.03999999999999204,56.347746090156328,1,0
3753,2000-06-16,148.31,148.31,145.88,146.59,5567900.0,-1,146.94166666666669,-1,144.38352941176473,1,-0.04386177104234984,-1,0.2921810699588502,1,-1.7199999999999989,54.846653234833155,1,0
